1	مقدمة المؤلف
8	ذكر الوقت الذي ابتدئ فيه بعمل التاريخ في الإسلام
10	القول في الزمان
14	القول في ابتداء الخلق، وما كان أوله
20	قصة إبليس لعنه الله وابتداء أمره وإطغائه آدم عليه السلام
23	ذكر خلق آدم عليه السلام
40	ذكر ولادة شيث
42	ذكر وفاة آدم عليه السلام
46	ذكر شيث بن آدم عليه السلام
48	ذكر الأحداث التي كانت من لدن ملك شيث إلى أن ملك يرد
51	ذكر يرد
53	ذكر ملك طهمورث
54	ذكر حنوخ وهو إدريس عليه السلام
56	ذكر ملك جمشيد
58	ذكر الأحداث التي كانت في زمن نوح عليه السلام
64	ذكر بيوراسب وهو الازدهاق الذي يسميه العرب الضحاك
68	ذكر ذرية نوح عليه السلام
73	ذكر ملك أفريدون
75	ذكر الأحداث التي كانت بين نوح وإبراهيم
82	ذكر إبراهيم الخليل عليه السلام ومن كان في عصره من ملوك العجم
88	ذكر ولادة إسماعيل عليه السلام وحمله إلى مكة
91	ذكر عمارة البيت الحرام بمكة
93	ذكر قصة الذبح
99	ذكر عدو الله نمرود وهلاكه
102	ذكر قصة لوط وقومه
106	ذكر وفاة سارة زوج إبراهيم عليه السلام وذكر أولاده وأزواجه
108	ذكر خبر ولد إسماعيل بن إبراهيم
109	ذكر إسحاق بن إبراهيم وأولاده
111	قصة أيوب عليه السلام
119	ذكر قصة يوسف عليه السلام
134	قصة شعيب عليه السلام
137	قصة الخضر وخبره مع موسى
141	ذكر الخبر عن منوجهر والحوادث في أيامه
146	قصة موسى عليه السلام ونسبه وما كان في أيامه من الأحداث
165	ذكر أمر بني إسرائيل في التيه ووفاة هارون عليه السلام
168	ذكر وفاة موسى عليه السلام
170	ذكر يوشع بن نون عليه السلام وفتح مدينة الجبارين
173	ذكر أمر قارون
175	ذكر من ملك من الفرس بعد منوجهر
177	ذكر ملك كيقباذ
178	ذكر الأحداث في بني إسرائيل في عهد زو وكيقباذ ونبوة حزقيل
180	ذكر إلياس عليه السلام
182	ذكر نبوة اليسع عليه السلام وأخذ التابوت من بني إسرائيل
185	ذكر حال أشمويل وطالوت
190	ذكر ملك داود
196	ذكر ملك سليمان بن داود عليه السلام
208	ذكر من ملك من الفرس بعد كيقباذ
211	ذكر خبر كيخسرو بن سياوخش بن كيكاووس
213	ذكر أمر بني إسرائيل بعد سليمان
218	ذكر شعيا والملك الذي معه من بني إسرائيل ومسير سنحاريب إلى بني إسرائيل
221	ذكر ملك لهراسب وابنه بشتاسب وظهور زرادشت
224	ذكر مسير بختنصر إلى بني إسرائيل
234	ذكر بشتاسب والحوادث في ملكه وقتل أبيه لهراسب
237	ذكر الخبر عن ملوك بلاد اليمن من أيام كيكاووس إلى أيام بهمن بن إسفنديار
240	ذكر خبر أردشير بهمن وابنته خمانى
243	ذكر خبر دارا الأكبر وابنه دارا الأصغر وكيف كان هلاكه مع خبر ذي القرنين
244	ذكر إسكندر ذي القرنين
254	ذكر من ملك من قومه بعد الإسكندر
256	ذكر أخبار ملوك الفرس بعد الإسكندر وهم ملوك الطوائف
262	ذكر الأحداث أيام ملوك الطوائف فمن ذلك ذكر المسيح عيسى ابن مريم ويحيى بن زكرياء عليه السلام
270	ذكر ولادة المسيح عليه السلام ونبوته إلى آخر أمره
282	ذكر من ملك من الروم بعد رفع المسيح إلى عهد نبينا محمد صلى الله عليه وسلم
287	ذكر ملوك الروم وهم ثلاث طبقات، فالطبقة الأولى الصابئون
294	الطبقة الثانية من ملوك الروم المتنصرة
299	ذكر الطبقة الثالثة من ملوك الروم بعد الهجرة
307	ذكر وصول قبائل العرب إلى العراق ونزولهم الحيرة
316	ذكر طسم وجديس وكانوا أيام ملوك الطوائف
321	ذكر أصحاب الكهف وكانوا أيام ملوك الطوائف
325	ذكر يونس بن متى
329	ومما كان من الأحداث أيام ملوك الطوائف
338	ذكر خالد بن سنان العبسي
339	ذكر طبقات ملوك الفرس
343	ذكر أخبار أردشير بن بابك وملوك الفرس
370	ذكر الأحداث في العرب أيام يزدجرد وفيروز
